Date/Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
2018-12-31 15:00:00,2.15063359095284,2.18442878509106,4.883380217021986,1.756618642119792,1.756618642119792,6.606121203297516,1.6839395635378263,4.288667888277629,1.6839395635378263,1.6839395635378263,1.4551179988971679,4.593377551862607,5.906899358518179,1.4551179988971679,4.288667888277629,6.606121203297516,0.9568880292225865,3.8229005930638325,0.6040180444851687
2018-12-31 16:00:00,2.089412604520052,0.5987908614532144,4.373881747368813,0.9781943908610745,0.9781943908610745,4.669403255627926,1.6397542828865537,3.2554488066971885,1.6397542828865537,1.6397542828865537,0.9810224520382268,3.0888808448458565,4.236801584077465,0.9810224520382268,3.2554488066971885,4.669403255627926,0.5569106838129189,2.8452967307410377,0.8976431029332121
2018-12-31 17:00:00,2.8188450684465485,1.7338895202357034,3.256239146864109,0.8321106960260568,0.8321106960260568,4.7297250329317055,0.5480164398054238,3.057641585566132,0.5480164398054238,0.5480164398054238,1.189007020257108,3.62185587910112,4.316971829345001,1.189007020257108,3.057641585566132,4.7297250329317055,0.3333068014117729,3.0501029355806653,0.8338472466106114
2018-12-31 18:00:00,2.827840111603021,4.867637183898067,4.366568521267767,0.49609590666682457,0.49609590666682457,3.5053997909526524,1.3060534982710563,2.0313848862535298,1.3060534982710563,1.3060534982710563,0.7932877768069333,3.430085843331321,4.2254349600341845,0.7932877768069333,2.0313848862535298,3.5053997909526524,1.3899306553705675,2.8373724305018593,1.5848746489955343
2018-12-31 19:00:00,1.9087812439115388,3.630856955368442,3.327737379745134,0.5694706954554369,0.5694706954554369,3.247832607675139,0.793975288343378,1.7138969839399936,0.793975288343378,0.793975288343378,1.1013647710626666,2.7960859346696116,3.438194879375735,1.1013647710626666,1.7138969839399936,3.247832607675139,1.3817524616897356,2.2854135533605486,2.137822213048585
2018-12-31 20:00:00,1.9582325347255183,4.622541725369244,0.9454234879238308,2.3395848849628065,2.3395848849628065,1.7996539321347338,0.8811221745120031,0.6899546696460647,0.8811221745120031,0.8811221745120031,2.591718670581953,1.1833050162149301,1.6213559568595535,2.591718670581953,0.6899546696460647,1.7996539321347338,2.248275972385222,6.271747391633992,4.07678216390619
2018-12-31 21:00:00,2.885718560462096,5.038785968396042,5.19977581356793,1.9676485138978612,1.9676485138978612,2.7046544486938044,0.7422383495955203,1.9627521514969763,0.7422383495955203,0.7422383495955203,1.9752506392916207,2.0710486725733555,2.874381978097193,1.9752506392916207,1.9627521514969763,2.7046544486938044,3.170993394245528,6.683694411035708,5.628836669314985
2018-12-31 22:00:00,2.4527057950298548,4.918201828453523,6.629619348832198,1.9937000506895464,1.9937000506895464,1.2388184370349513,1.8086191503543112,0.22556959382999864,1.8086191503543112,1.8086191503543112,1.2911415127907688,2.270811332458153,2.83459573265395,1.2911415127907688,0.22556959382999864,1.2388184370349513,3.1434868593296454,7.661304158511723,5.579942689535438
2018-12-31 23:00:00,2.301583242562787,6.2200477094013795,7.584856455928248,0.8622667148853956,0.8622667148853956,3.39529471909977,2.4756041243215647,0.7333425177436548,2.4756041243215647,2.4756041243215647,0.8294174611632247,1.9516578065664192,2.9644998481914926,0.8294174611632247,0.7333425177436548,3.39529471909977,3.345428027387412,7.770478668241514,6.013982775045634
2019-01-01 00:00:00,1.9586965775837994,4.85884258531445,7.881882785052547,3.1876320294326566,3.1876320294326566,9.261762303872816,1.983155618821677,4.15590347587865,1.983155618821677,1.983155618821677,3.3047783444705954,4.672234073694369,4.951554630825465,3.3047783444705954,4.15590347587865,9.261762303872816,4.5461022276640914,7.617854838915314,6.762221471937483
2019-01-01 01:00:00,0.7969651098403323,4.2146774096833415,8.433114398092746,4.048981502927612,4.048981502927612,10.280188544080843,3.434124153049166,5.398329056776128,3.434124153049166,3.434124153049166,4.751079918772057,3.298390000983712,3.2742798978306493,4.751079918772057,5.398329056776128,10.280188544080843,4.82615073407873,8.229937889898723,6.76297127455064
2019-01-01 02:00:00,0.6489407296347008,4.298727467206325,12.486486120350717,4.960694263314579,4.960694263314579,8.08362093598141,3.4062333177684883,4.727389209993383,3.4062333177684883,3.4062333177684883,6.033270907771397,3.6275791405229314,3.8071447971389154,6.033270907771397,4.727389209993383,8.08362093598141,3.4300456250665463,8.47844622795749,4.338452699360621
2019-01-01 03:00:00,3.3948128318728514,4.513187052333428,12.462186332879318,2.0578526949829197,2.0578526949829197,7.11383009615933,1.1424778635873403,5.411402587282398,1.1424778635873403,1.1424778635873403,2.49423380330073,3.4549961582522255,5.309316004085302,2.49423380330073,5.411402587282398,7.11383009615933,5.747634520067015,8.24776742323049,6.578165472357447
2019-01-01 04:00:00,1.6041597115184325,5.140453338495213,7.202198979687142,1.4148919301744716,1.4148919301744716,4.81912011807318,1.3910924308547035,3.718117160452084,1.3910924308547035,1.3910924308547035,2.2285029090332147,2.0550525405337234,3.7870252799265818,2.2285029090332147,3.718117160452084,4.81912011807318,2.6493178105787947,4.625146549170501,3.0193762031471025
2019-01-01 05:00:00,2.511056997666859,4.213242659354295,5.385217602630372,1.7918523734566998,1.7918523734566998,4.2355645752969195,0.737874168319297,3.546570666291437,0.737874168319297,0.737874168319297,2.5018669449324515,2.2373926615826414,3.8256351549605783,2.5018669449324515,3.546570666291437,4.2355645752969195,4.312073012193998,2.7300049989903443,4.351716292970836
