Date/Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
12/31/2018 15:00,2.521674202,3.051720199,3.051720199,3.051720199,2.521674202,5.363678358,3.142267276,3.142267276,2.297260899,2.297260899,11.45138245,9.864002213,2.755434863,11.45138245,12.80625742,10.07187379,9.1104825,11.45138245,8.877543759,11.11288554,11.44394385,11.45138245,1.673402723,1.673402723,5.615685031,8.744195334,7.765783837,2.346669649,6.253518566,2.346669649,8.744195334,4.584208133,3.669978178,4.314187815,6.402796734,4.584208133,4.584208133,7.765783837
12/31/2018 16:00,2.466191413,3.118209814,3.118209814,3.118209814,2.466191413,5.823734404,3.406189886,3.406189886,2.47298662,2.47298662,10.16491338,10.47123293,3.449044259,10.16491338,12.22899372,9.399225381,8.42847624,10.16491338,7.471039567,10.20917797,10.48308079,10.16491338,1.524254422,1.524254422,5.480446301,8.724155732,7.373275828,2.52969037,5.850838578,2.52969037,8.724155732,4.38039343,3.920084541,4.462382653,6.547833121,4.38039343,4.38039343,7.373275828
12/31/2018 17:00,2.325646647,3.231822258,3.231822258,3.231822258,2.325646647,5.888793928,3.543479293,3.543479293,2.930662333,2.930662333,10.9997661,10.99409215,3.856887822,10.9997661,12.74893386,9.954036884,9.074600142,10.9997661,8.166646749,11.0788472,11.24657792,10.9997661,1.693657912,1.693657912,5.599160757,8.295333204,7.660256475,2.864284591,5.660785031,2.864284591,8.295333204,4.838580911,2.974167109,4.937191378,7.184140134,4.838580911,4.838580911,7.660256475
12/31/2018 18:00,2.529316937,2.952349349,2.952349349,2.952349349,2.529316937,5.477299835,2.80232544,2.80232544,3.094005232,3.094005232,10.97217333,9.746760786,2.901952592,10.97217333,12.73574895,9.921903884,9.247164024,10.97217333,8.109897619,11.06529438,11.04659272,10.97217333,1.727126626,1.727126626,7.339105732,10.07791846,9.644950223,3.388518128,6.000910925,3.388518128,10.07791846,6.625077882,1.546355049,6.341499915,8.972198502,6.625077882,6.625077882,9.644950223
12/31/2018 19:00,1.932887257,2.643812445,2.643812445,2.643812445,1.932887257,6.015123825,2.747135706,2.747135706,3.232954323,3.232954323,10.50193722,9.198007692,3.849727868,10.50193722,12.1820239,9.543153186,9.024264484,10.50193722,7.755663701,11.01925177,10.42989596,10.50193722,1.968385291,1.968385291,7.471946315,10.37060742,8.351631102,3.032926094,6.080826996,3.032926094,10.37060742,5.768531791,2.978235234,6.256626755,8.874024601,5.768531791,5.768531791,8.351631102
12/31/2018 20:00,2.56561611,3.251706615,3.251706615,3.251706615,2.56561611,6.524395475,3.362977079,3.362977079,3.152197007,3.152197007,11.5528715,7.908128283,3.79612434,11.5528715,11.4133349,9.055337368,8.404552782,11.5528715,8.789017938,10.75119989,11.61707331,11.5528715,2.061033661,2.061033661,7.775712398,11.4072603,9.803597197,3.400532165,6.788448146,3.400532165,11.4072603,6.722945209,3.285796821,6.729181139,9.67930371,6.722945209,6.722945209,9.803597197
12/31/2018 21:00,0.766263566,0.903942664,0.903942664,0.903942664,0.766263566,4.313662734,1.406153199,1.406153199,2.307628049,2.307628049,10.38564814,8.089845568,2.692531547,10.38564814,9.218848956,6.386270016,6.484548937,10.38564814,7.980744745,10.88454425,9.531559895,10.38564814,1.328500033,1.328500033,9.074371014,11.31712416,10.26904032,3.574914555,5.064244051,3.574914555,11.31712416,7.043168486,2.342512425,7.301638173,10.23600916,7.043168486,7.043168486,10.26904032
12/31/2018 22:00,1.548361425,1.774565119,1.774565119,1.774565119,1.548361425,4.535999049,1.916127064,1.916127064,1.743331148,1.743331148,7.296859804,7.205545551,3.565751702,7.296859804,7.446802083,6.060067383,5.736408664,7.296859804,5.228168221,7.848911024,7.399429266,7.296859804,2.032237065,2.032237065,8.536380922,8.801070758,8.29369434,3.216841053,4.531696116,3.216841053,8.801070758,5.720020978,3.977025617,6.62616472,9.360736356,5.720020978,5.720020978,8.29369434
12/31/2018 23:00,1.508546053,1.995896483,1.995896483,1.995896483,1.508546053,3.916899535,1.845177496,1.845177496,1.485195687,1.485195687,6.963028086,6.131770735,3.566669169,6.963028086,6.242480832,5.143508704,4.918400631,6.963028086,5.746717055,6.648736938,6.773179266,6.963028086,1.980585021,1.980585021,6.74658145,9.996246086,8.854737797,2.180996859,4.324544195,2.180996859,9.996246086,5.329220043,3.226957166,5.016730762,7.615305283,5.329220043,5.329220043,8.854737797
1/1/2019 0:00,2.486101194,2.403896861,2.403896861,2.403896861,2.486101194,2.752001806,2.158172,2.158172,1.618919998,1.618919998,9.479214213,6.898391153,4.243812852,9.479214213,7.356320905,5.255592859,5.222753434,9.479214213,7.791923243,9.088846628,8.734124057,9.479214213,2.670888354,2.670888354,11.03253365,11.92792417,11.65587554,5.293226091,5.917966256,5.293226091,11.92792417,8.513990655,2.795818563,9.800061611,12.9165733,8.513990655,8.513990655,11.65587554
